video_id,title,view_count,duration_seconds
FhzOJ0JbZvE,Comedian Roasts Mask Wearers: CDC Follows Me! 😂 #shorts,,24
la7ETjBret8,Comedic Take on Mask Mandate Removal: A Social Commentary#MaskMandate #SocialCommentary,2233,26
8xdqWI84RO8,They Faked the Flu… Just to Make Me Wear a Mask Again,775,104
1aiLVAVkVWQ,This girl bought the most realistic mask in the world !,315984,11
9QAHsJf0lwA,Mask Mandates My Thoughts on News & Coronavirus #shorts #comedy #jrefunnymoments #jre,6,19
LLHCUCK0yBc,Ranking Fart inside Mascot Dress Moments Part 2😂,10592177,35
66DBNHxtJAo,A hilarious response to mask mandates#maskmandate #rebellion #funny #covid,3,12
aTSSCQA9LB0,Trump tells Elon to say it to his face #PUPPETREGIME #Comedy #abomination,3351497,32
lcNu87fTRMY,MASK MANDATE😂 #shorts #weekendupdate,2239,59
R0LYmqYelsI,Mask Mandates and Democratic Governors: A Humorous Take#MaskMandate #DemocraticGovernor,674,15
4thk0n6bqFo,Humorous take on mask mandates: a creative compliance#maskhumor #creativecompliance,5,9
35Wd4gAyyis,Ranking the Funniest 'Cover Your Fart' Moments 🤣 | You Won't Believe #1!,777510,58
1Umt1ZyQJZ8,Masks and Moist Words: A Humorous Take on Public Health Advice#MaskHumor #PublicHealth,896,15
HMna5_hJkG8,Vegas Pandemic Life: Mask Mandates & Airport Creepiness!,1984,69
KOJ5ntJDQ8o,HE SAID THIS!? Mask Mandates The Speaker's Rant Against Compliance #youtubeshort #funny #andrewtate,1291,28
G0PypPXgJMI,Exaggerated Mask Complaint: Woman's Ironic Plea for Air in a Supermarket#maskhumor,468,9
uJI036MvFbs,MASK MANDATE #shorts #snlweekendupdate,16081,60
_eOSchEiwrA,Funniest Fart Moments😂 #fartprank #funny #shorts #humor #funnymoment #prank,1818176,40
QE2UtkmIGgo,HYPER REALISTIC Face Mask!,135922,29
pjXRSM4oY3c,Water Balloon Prank!,57076835,16
