video_id,title,view_count,duration_seconds
dzdUTLnSbEI,Jon Allen - Vaccines #vaccine #autism #trains #comedy #standupcomedy #shorts,25604,25
PnLdca8EpVA,Baldi Basics Brain Rot PT2 #funny #comedy #relatable #humor #skit,439621,19
b0cWPEcB2fw,that one woman getting a vaccine#shorts#youtube#humor,22707,51
BdNz7rzyp_0,"Locky, you're not afraid of injections?! 💉 Really?! 🫢 #gogodino #cute #vaccine #vaccination #scared",3312683,26
Kcs6eo5Ekho,Vacunas del COVID 🤣 #comedia #humor #comedy #risas #shorts,28872,25
,Vaccines 1925 vs 2025 💉,444179,32
osh1v6FqUhc,Florida Vaccine Mandates #lastweektonight,1541300,162
p9vQdwhZA2o,Unvaccinated #standupcomedy #comedy #vaccine #ruralproblems #jokes #humorvibes,2258,38
o5B4epiF2VY,Lawyer Medicine #rfkjr #mitochondria #airports #vaccines #standupcomedy #funny #jokes #shorts,323817,121
qsuz2bPMSlk,Vaccination compliant jeans !!👖😆 #vaccination,55234,119
LyhRsTTBRJk,When the whole class gets vaccinated #funny #shorts,1944971,40
QBpsiCF0eE0,Funny 🐶 gating vaccine Reaction😂| cute 🐶 #shots #funny #cute #dog,32511,15
jHMtYbXHSzM,"Ye Kahaan Pe Vaccine De Diya? 😳💉 | Akshay Kumar, Rajkummar Rao, Abhishek Banerjee, Pankaj Tripathi",858831,21
dqV9hOVGcXs,Remember? #standup #comedyjokes #vaccine #funny #millennials #genz #comedy #noredavis,1094,57
4B0PMcWYRnI,Medical Advice #rfkjr #doctors #medicaladvice #vaccines #standupcomedy #funny #jokes #shorts,22695,39
4ImqupoGhQc,The Day of vaccination (#funny #comedy #shorts #humor ),1286946,37
xRx5YNEh8MU,"How Vaccines Work: By Posting a \""Wanted Poster\"" for the Immune System#shorts #animation #funny",18320,68
BBESwAlc9lM,Humorous Take on Vaccine Hesitancy: 'Cap' Sound Effect#vaccination #humor #immunization,662,12
axdVSq0urLM,I was so scared 😒😭 #jojoworld #viral #doctors #shorts #funny,1664064,56
nfA93pHn3tI,Humorous Take on COVID-19 Vaccines and Brand Loyalty#Humor #Vaccine #BrandLoyalty,1305,8
